Section,Variable Name,Label,Definition (Validated from Protocol),Additional Notes (Validated from Protocol),Optum CDM Implementation,R Code Implementation,Sync Status (OrigSpec/Protocol/Code),Sync Status Notes,Date Modified (Initials + Date),QC Reviewed (Initials + Date),Discrepancy Found in Original Program Spec
Section A: Study Time Period,MM_FU_other,"Evidence of another cancer in the FU period","Binary flag. =1 if evidence of another cancer in the follow-up period; else =0. Requires >=2 ICD-9-CM or ICD-10-CM codes on separate days, within 30 days, for the same primary tumor type and/or metastatic cancer.","Protocol Section 4.2, Exclusion Criterion 2: Same criteria as baseline other cancer, applied to the follow-up period. Tab 44 contains other cancer codes.","T_MED_DIAGNOSIS: DIAG matched against other malignancy codes (Tab 44), FST_DT for service date. Same pairing logic as baseline but applied to follow-up period.","new_code.R lines 2295-2339: Step 22_other_malig_flag. Note: The current code implementation computes OTHER_MALIGN_FLAG for baseline period only (first_dt in baseline). Follow-up other malignancy is not separately computed as an independent flag in the current code. The flag is used as a baseline exclusion criterion.",NNY,"Spec: N - Spec defines this as a separate variable but does not detail the follow-up period logic clearly. Protocol: N - Protocol mentions baseline exclusion for other cancer, not follow-up as separate criterion. Code: Y - Code only implements baseline other malignancy flag (OTHER_MALIGN_FLAG). No separate FU_other_malig flag exists in the code.",,,"Discrepancy found: The spec defines MM_FU_other as a separate variable for follow-up period other cancer evidence, but the code only implements OTHER_MALIGN_FLAG for the baseline period. The protocol's Exclusion Criterion 2 focuses on baseline period. If FU other cancer is needed, it would require a separate flag computation."
Section A: Study Time Period,Pregnant,"Evidence of pregnancy","Binary flag. =1 if evidence of pregnancy (>=1 medical claim with a diagnosis, procedure, or revenue code indicating pregnancy or childbirth) during the patient identification period (baseline + follow-up); else =0.","Protocol Section 4.2, Exclusion Criterion 3: '>=1 of medical claim with a diagnosis, procedure, or revenue code indicating pregnancy or childbirth during the baseline or follow-up period. Codes for pregnancy are in the programming specification document.' Tab 45 contains pregnancy codes.","T_MED_DIAGNOSIS: DIAG for pregnancy dx codes, ICD_FLAG, FST_DT. T_MEDICAL: PROC_CD for pregnancy HCPCS procedure codes, RVNU_CD for revenue codes. T_MED_PROCEDURE: PROC for ICD procedure codes. All matched against pregnancy code list (Tab 45). Spans baseline through follow-up period.","new_code.R lines 2170-2229: Step 20_pregnancy_flag. Lines 2180-2209: Unions dx (ICD9/ICD10 diagnosis), hcpcs_proc (PROC_CD), icd_proc (ICD procedure), and rev (RVNU_CD) events. Lines 2220-2222: 'max(CASE WHEN m.event_dt BETWEEN date_sub(q.index_date, 183) AND least(study_end, coalesce(d.DEATH_DT, study_end)) THEN 1 ELSE 0 END) AS PREGNANT_FLAG'. Line 2426: 'coalesce(b.PREGNANT_FLAG, 0) AS PREGNANT_FLAG'.",YYY,"All sources agree on pregnancy flag logic spanning baseline + follow-up. Code includes revenue code support per spec requirement.",,,No discrepancy found. Aligned with protocol.
Section A: Study Time Period,CT_part,Clinical trial participation,"Binary flag. =1 if evidence of clinical trial participation during the study period (baseline and/or follow-up); else =0.","Protocol Section 4.2, Exclusion Criterion 4: 'Evidence of clinical trial participation during the study period will be flagged. Codes for clinical trial participation are in the programming specification document.' Tab 46 contains clinical trial codes. Note: Protocol says 'flagged' not 'excluded', indicating this is informational.","T_MED_DIAGNOSIS: DIAG for clinical trial dx codes. T_MEDICAL: PROC_CD for HCPCS codes. T_MED_PROCEDURE: PROC for ICD procedure codes. T_MEDICAL: RVNU_CD for revenue codes. All matched against clinical trial code list (Tab 46). Spans baseline through follow-up.","new_code.R lines 2231-2293: Step 21_clintrial_flag. Computes CLINTRIAL_BASELINE and CLINTRIAL_FOLLOWUP as separate flags. Lines 2279-2281: baseline check (date_sub to index_date - 1). Lines 2284-2286: follow-up check (index_date to min(death, study_end)). Line 2427-2428: 'coalesce(b.CLINTRIAL_BASELINE, 0) AS CLINTRIAL_BASELINE, coalesce(b.CLINTRIAL_FOLLOWUP, 0) AS CLINTRIAL_FOLLOWUP'.",YYY,"All sources agree. Code splits into baseline and follow-up clinical trial flags for granularity, which is consistent with protocol saying 'during the study period'.",,,No discrepancy found. Aligned with protocol.
Section A: Follow-up Period,Death_dt,Death Date,"Date patient died. When date of death is only available at month-level granularity, the date is generalized to the 15th of the month. For patients with only death year available, the death date is assumed to be July 15th of the year they died. For patients with only death year available and their year of death is the same year as their index date, the death date is assumed to be July 15th if index date is on or before July 15th, or December 31st if index date is after July 15th.","Protocol Section 4.5 (Mortality Data) and Section 4.2 Inclusion Criterion 4 sub-bullet: 'As noted in Section 4.5, mortality data includes month and year of death. The assigned date of death for dataset construction is set to the 15th of the month.' Death data sources per protocol: 1) CMS mortality information, 2) SSA Death Master File, 3) Facility claims (discharge status=expired), 4) Member coverage (reason=death), 5) EMR, 6) Obituary data.","T_DOD: YMDOD field contains death date as YYYYMM or YYYY format. Per Optum CDM: YMDOD may be year-only (4 chars) or year-month (6 chars). Code extracts death_yr (substr 1-4) and death_mo (substr 5-6). Joinability validated via QC step.","new_code.R lines 1950-2024: Step 15b_death_dt. Lines 1967-1971: Extracts death_yr and death_mo from YMDOD. Lines 1991-2007: Month-level -> 15th (with edge case: if index_date > 15th in same month, use month-end). Year-only -> July 15 (with edge case: if index_date > July 15 in same year, use Dec 31). Lines 2017-2020: Final clamp ensures DEATH_DT >= index_date to prevent negative FU_DAYS. Line 2417: 'b.DEATH_DT' carried through to ELIG_COH_ALLFLAGS.",NYY,"Spec: N - Spec mentions the July 15th rule for year-only death dates and Dec 31st rule when index > July 15th, but does not mention the month-level edge case (when index_date > 15th of death month, use month-end). Protocol: Y - Protocol says '15th of the month' without specifying the edge case, but the code correctly handles it. Code: Y - Code implements comprehensive logic including edge cases.",,,"Discrepancy found: The spec does not describe the month-level edge case where if index_date > 15th of the death month, the death date is set to month-end instead of the 15th. This edge case is implemented in code (line 1996-1997) to prevent death_dt < index_date. The protocol simply states '15th of the month' without addressing this edge case."
Section A: Follow-up Period,ENDDATE,Follow Up End Date,"min(Death_dt, study period end date). The end of follow-up for all patients regardless of enrollment status.","Protocol Section 4.2, Criterion 4 and Section 4.3: Follow-up begins on the index date and ends at the earliest of death, health plan disenrollment, or end of study period. ENDDATE specifically excludes disenrollment (that is ENDDATE_CE).","Derived field. Computed from DEATH_DT (T_DOD.YMDOD) and study_end parameter (2025-06-30).","new_code.R line 2418: 'least(date(study_end), coalesce(b.DEATH_DT, date(study_end))) AS ENDDATE' in Step 23_ELIG_COH_ALLFLAGS.",YYY,"All sources agree. ENDDATE = min(death, study_end), not including disenrollment.",,,No discrepancy found. Aligned with protocol.
Section A: Follow-up Period,ENDDATE_CE,Follow Up End Date among CE pts,"min(Death_dt, date of health plan disenrollment, study period end date). When CE_3mosf=1 is applied, follow-up end date is earliest of death, health plan disenrollment, or study period end for patients who do not have an assigned date of death <3 months after the index date.","Protocol Section 4.2, Criterion 4: Follow-up ends at 'the earliest of health plan disenrollment, study period end or date of death, whichever comes first.' ENDDATE_CE incorporates disenrollment from enrollment spans.","Derived field. Computed from DEATH_DT (T_DOD.YMDOD), enrollment span end (ENDDATE_CE from ce_flags view = max cov_end where CE_f=1), and study_end parameter.","new_code.R line 2419: 'least(date(study_end), coalesce(b.DEATH_DT, date(study_end)), coalesce(b.ENDDATE_CE, date(study_end))) AS ENDDATE_CE' in Step 23. The ENDDATE_CE from ce_flags (line 1922) is the cov_end of the enrollment span covering the index date.",YYY,"All sources agree. ENDDATE_CE = min(death, disenrollment, study_end).",,,No discrepancy found. Aligned with protocol.
Section A: Follow-up Period,FU_DAYS,Length of follow up (days),"The number of days between a patient's ENDDATE and their INDEX_DATE + 1. Represents total follow-up time from the day after the index date.","Protocol Section 4.3 (Observation Period): Follow-up begins on the index date. The +1 in the formula accounts for inclusive day counting.","Derived field. Computed as datediff(ENDDATE, INDEX_DATE + 1) + 1.","new_code.R line 2420: 'datediff(least(date(study_end), coalesce(b.DEATH_DT, date(study_end))), date_add(b.index_date, 1)) + 1 AS FU_DAYS' in Step 23.",YYY,"All sources agree on FU_DAYS computation.",,,No discrepancy found. Aligned with protocol.
Section A: Follow-up Period,FU_DAYS_CE,Length of follow up period (days) among CE pts,"The number of days between a patient's ENDDATE_CE and their INDEX_DATE + 1. Follow-up time among patients who are continuously enrolled (without gaps in enrollment) in the follow-up period.","Protocol Section 4.2, Criterion 4: Follow-up for continuously enrolled patients ends at earliest of death, disenrollment, or study end.","Derived field. Computed as datediff(ENDDATE_CE, INDEX_DATE + 1) + 1.","new_code.R line 2421: 'datediff(least(date(study_end), coalesce(b.DEATH_DT, date(study_end)), coalesce(b.ENDDATE_CE, date(study_end))), date_add(b.index_date, 1)) + 1 AS FU_DAYS_CE' in Step 23.",YYY,"All sources agree on FU_DAYS_CE computation.",,,No discrepancy found. Aligned with protocol.
Section B: IE Criteria,Criterion 0 (Base),">=1 medical claims for MM in any position on claim","Base cohort: All patients with at least 1 medical claim for multiple myeloma in any position on claim during the identification period. This serves as the base of the entire cohort and is always applied.","Protocol Section 4.2: 'The sole mandatory requirement for cohort membership is that patients must have at least one inpatient medical claim or 2 outpatient medical claims for MM in any position on the claim during the study period.' Criterion 0 is more permissive (any 1 claim) to build the widest base; stricter criteria applied later. If Criterion 1 flag is not implemented, earliest MM claim serves as index date.","T_MED_DIAGNOSIS: DIAG matched against MM dx codes (Tab 42), any position (DIAG_POSITION not restricted). FST_DT within identification period.","new_code.R lines 1622-1682: Steps 08a-08b build mm_dx_events_all then filter to ID period. Step 12 (line 1743): mm_qualifying contains all potential index dates. The base cohort is effectively all patients in mm_qualifying before IE criteria are applied in Step 24.",YYY,"All sources agree on the base cohort being all patients with >=1 MM claim.",,,No discrepancy found. Aligned with protocol.
Section B: IE Criteria,Criterion 1 (INCLUSION),"At least one inpatient or >=2 outpatient MM claims within 30/60/90 days","At least one inpatient medical claim with a diagnosis code for MM (ICD-9-CM=203.0x or ICD-10-CM=C90.0x) OR >=2 outpatient medical claims for MM (ICD-9-CM=203.x or ICD-10-CM=C90.x) in any position on claim, on separate days within 30/60/90 days.","Protocol Section 4.2, Inclusion Criterion 1: Specifies 'within 90 days' as primary with 30/60 day flagging. Notes: 'If criteria 1 flag is not implemented, future IE criteria will rely on the date of a patient's earliest MM claim in the Optum database as the index date.' Spec note: ICD codes for inpatient are strict (203.0x/C90.0x) while outpatient uses broader codes (203.x/C90.x).","T_MED_DIAGNOSIS: DIAG, ICD_FLAG, FST_DT. T_MEDICAL: POS, TOS_CD, CONF_ID for inpatient determination. T_CONFINEMENT: CONF_ID validation.","new_code.R lines 1687-1782: Steps 09-12. Inpatient uses mm_dx_strict_flg (203.0x/C90.0x only). Outpatient uses all MM dx codes with 30/60/90 day window pairs. Step 24 (line 2448): 'AND (inpt_qual = 1 OR outpt2_{outpatient_window} = 1)'. cfg$outpatient_window default=90.",NYY,"Spec: N - Spec uses ICD-9-CM=203.0x for both inpatient and outpatient in the definition column, but the Additional Notes use 203.x (broader) for outpatient. Protocol: Y - Protocol says 'ICD-9-CM=203.0x or ICD-10-CM=C90.0x' for inpatient then '>=2 medical claims for MM' for outpatient (broader). Code: Y - Code correctly uses strict codes (203.0x/C90.0x) for inpatient and broad codes (203.x/C90.x) for outpatient.",,,"Discrepancy found: The spec definition column uses ICD-9-CM=203.0x and ICD-10-CM=C90.0x for BOTH inpatient and outpatient claims, but the Additional Notes column uses broader codes 203.x and C90.x for outpatient. The protocol and code correctly distinguish strict (inpatient) from broad (outpatient) codes. The definition column should clarify this distinction."
Section B: IE Criteria,Criterion 2 (INCLUSION),Patients at least 18 years of age in the index year,"Patients at least 18 years of age in the index year. Age calculated as year(INDEX_DATE) - YRDOB.","Protocol Section 4.2, Inclusion Criterion 2: 'Adults: >=18 years in index calendar year.'","T_MEMBER_CONT_ENROLLMENT: YRDOB field.","new_code.R line 942: IE criteria 'AGE_INDEX_YR >= 18'. Line 2411: '(year(b.index_date) - b.YRDOB) AS AGE_INDEX_YR'.",YYY,"All sources agree on age >=18 in index year.",,,No discrepancy found. Aligned with protocol.
Section B: IE Criteria,Criterion 3 (EXCLUSION),"Evidence of MM oncology therapy during baseline period",">=1 medical or pharmacy claim for an FDA-approved MM oncology therapy during the baseline period (6 months prior to index date). Patients with baseline therapy are excluded to ensure newly diagnosed status.","Protocol Section 4.2, Exclusion Criterion 1: '>=1 medical or pharmacy claim for an FDA-approved MM oncology therapy during the baseline period.' Tab 41 contains MM therapy codes.","T_MEDICAL: PROC_CD for HCPCS/CPT. T_RX: NDC for pharmacy. Both checked in baseline period (index_date - 183 to index_date - 1).","new_code.R lines 2141-2163: Step 19. Line 2150: baseline therapy check. Line 950: IE criteria 'MM_bl_agents = 0'.",YYY,"All sources agree.",,,No discrepancy found. Aligned with protocol.
